nome	mail	web	tel	fax	ind	info
VEGETALIS CATERING	office@vegetalis.de	www.vegetalis-catering.de	0049 1703065715		Aubachstr. 283075 BAD FEILNBACH ( )GERMANIA	Vegan and vegetarian Restaurant
FAVA RENATO	renatofava@msn.com		0039 0331 841590	0039 0331 841590	Via Piave, 2221049 TRADATE (VA)Italia	Abbigliamento personalizzato
IDEE COCCO ITALIA S.n.c.	info@ideecocco.com	www.ideecocco.com	0039 0444 685220	0039 0444 685009	Via Spinino, 11/136050 MONTORSO VICENTINO (VI)Italia	Produzione di guanti in pelle made in Italy  Production of leather gloves made in Italy
SELLERIA LA COLOMBAIA	sellerialacolombaia@gmail.com	www.sellerialacolombaia.com	0039 349 4651692	0039 037543696	Via Molossi, 7726041 CASALMAGGIORE (CR)Italia	Abbigliamento per cavallo/cavaliere
RENY di FINARDI RENATO	info@reny.it	www.reny.it	0039 338 9283017		Via M. Polo 2424047 TREVIGLIO (BG)Italia	Coperte
SELLERIA LA BOTTEGA DEL CAVALLO S.a.s.	stefaniachizzoni@tin.it	www.selleriabottegadelcavallo.com	0039 338 6087296		Via Capro 346010 S.MARTINO D'ARGINE (MN)Italia	Selleria, articoli per equitazione, abbigliamento tecnico e freewear.
OTTO SPORT UND REITPLATZ GmbH	info@ottosport.de	www.ottosport.de	0049 9187 971125	0049 9187 4436	Am Umspannwerk 690518 ALTDORF ( )GERMANIA	Fondi per maneggi, campi equestri, piste di galoppo, box e scuderie. Surfaces/floorings for indoor and outdoor arenas, race courses, boxes and stables.
JOCKEY KATARZYNA GRZYB	info@jockey-reitsport.de		0049 21 22332724		Hubertusstr. 542697 SOLINGEN ( )GERMANIA	Giacche - Divise da corsa - Attrezzature ippiche - Articoli ippici - Biscotti per cavalli Jackets - Jockey wear - Horse riding equipment - Horse riding products
CREAZIONI ARTIGIANE di MATTEONI GIANFRANCO	gianfranco.matteoni@gmail.com		0039 328 9533520		Casato Bianchini 651035 LAMPORECCHIO (PT)Italia	Produzione di cinture e pelletteria varia
BIANCHI CARROZZE	bianchiteam@libero.it	www.lecarrozze-bianchi.it	0039 338 6612420		Via Delle Rogazioni 428078 ROMAGNANO SESIA (NO)Italia	Commercio carrozze  Trade carriages
AZZOLIN ALBERTO	albertoazzolin@libero.it	www.bertinstore.com	0039 366 7101000	0039 0424 702425	Via Perozzi, 1636063 MAROSTICA (VI)Italia	Oggettistica Western
WESTERN SPEED GAME ASSOCIATION PONY	floriana.ferrero@gmail.com	www.wsgapony.it	0039 389 9112281		Via Bisattini 2410034 CHIVASSO (TO)Italia	Promotori disciplina western con pony
WEST &amp; DOLLIES ASSOCIAZIONE CULTURA COUNTRY	info@westanddollies.org	www.westanddollies.org	0039 336 784866		Via Blera 12901019 CURA DI VETRALIA (VT)Italia	Organizzazione Eventi Country Western - Scuole di lavorazione del cuoio
L'ECOLOGISTA S.a.s.	ecologista012@gmail.com		0039 0573 735945	0039 0573 735000	Via Europa 30051039 QUARRATA (PT)Italia	Lettiere di truciolo per cavalli
AICH asd	conqueress2@hotmail.com	www.nchaofitaly.it	0039 347 3825813	0039 0372 454882	Stradello Pratospilla 343100 PARMA (PR)Italia	Promozione disciplina del cutting e realizzazione eventi relativi Cutting horse development and sport events
FLECHT UND SEILEREI BROCKAMP GmbH	seil-brockamp@t-online.de	www.seil-brockamp.de	0049 62068510	0049 6206707133	Zum Muehlgraben 1868642 BUERSTADT ( )GERMANIA	Horse-Man-Ship Equipment, Ropes, Bareback Pads, Halters, Reins, Bridles
JM-PRODUCTION	jarimkela@gmail.com	www.lapponia.uk.com	00358 400139735	00358 26416757	Pitkakatu 528130 PORI ( )FINLANDIA	Our design is inspired by Lapland (Lat Lapponia). Pristine nature and four seasons lay the foundation of our unique collection. From the luxurious products of our designers you can sense winter's white snow and the drifts of spring as well as the nightless summer nights and the northern lights. Laplands flora and fauna are true experienxe in themselves. For many millennia the authentic, natural materials of our products have been a part of the arctic every day life. Choosing Lapponia You choose green values: high quality and ecological method of manufacturing.
JUST ITALIA S.r.l.	just@just.it	www.just.it	0039 045 8658111	0039 045 908909	Via Cologne 1237023 GREZZANA (VR)Italia	Commercio prodotti cosmetici naturali per il benessere, l'igiene della persona e della casa
A.B. SOLUTE FAMILY OFFICE &amp; CONSULTING S.r.l.	info@absolutenet.eu	www.absolutenet.eu	0039 0444 525740	0039 0444 540655	Viale Roma 836100 VICENZA (VI)Italia	Il vostro patrimonio è in mani sicure con ABSolute: una struttura multi-disciplinare formata da professionisti di varia estrazione che vi propone un approccio etico e trasparente per aumentare la qualità del capitale nel tempo. Operiamo per una valorizzazione equilibrata, sensata, giusta e libera da conflitti di interesse.
SERGIO GRASSO S.r.l.	info@sergiograsso.it	www.sergiograsso.it	0039 045 7760133	0039 045 6845224	Via San Nicolo 2437015 S.AMBROGIO VALPOLICELLA (VR)Italia	Stivali, stivaletti e ghette per l'equitazione
FARMACIA BANDI di BANDI MANUELA	laboratoriobandi@fastwebnet.it	www.farmaciabandi.it	0039 02 2846767		Via Rovereto, 1420127 TRENTO (TN)Italia	La Farmacia Bandi… la farmacia come era una volta ma non solo! Nella nostra farmacia si incontrano tradizione e innovazione per poter realizzare nel nostro laboratorio farmaci su misura per i cavalli e per ogni animale. L'utilizzo della più innovativa strumentazione ci consente di proporre farmaci personalizzati per: dosaggio, tipo di forma farmaceutica (compresse, sciroppi, unguenti , caramelle...), appetibilità. Si preparano inoltre tinture ed unguenti per la cura dello zoccolo. Nella nostra farmacia troverai un'ampia scelta di farmaci tradizionali, omeopatici e fitoterapici veterinari ma anche una serie di prodotti per il benessere e la bellezza degli animali. ...E se abiti lontano non ti preoccupare, possiamo spedirti tutto con rapidità e precisione. Contattaci sul sito www.farmaciabandi.it, per mail laboratoriobandi@fastwebnet.it o per telefono ai numeri 02-2846767
LOVATO 2	info@lovatosport.com		0039 045 6490334	0039 045 6490334	Via Croce Papale 2537010 PACENGO DI LAZISE (VR)Italia	Abbigliamento - Lovato Massimo
POZZOLANA MONTENERO S.a.s.	pozzolana.montenero@tin.it	www.pozzolanamontenero.com	0039 0761 453108	0039 0761 420289	Via Dell'Eschio 2701018 VALENTANO (VT)Italia	Fondi per campi equestri Riding grounds
GRUPPO PICCINI	gruppopiccini@gmail.com		0039 0421 276768	0039 0421 276768	Via Garibaldi 4433170 PORDENONE (PN)Italia	Abbigliamento sportivo in pelle e tessuto - Accessori
GRUPPO2A S.r.l.	info@gruppo2a.com	www.gruppo2a.com	0039 02 90003945	0039 02 90003079	Via Longarone 3120080 ZIBIDO SAN GIACOMO (MI)Italia	Produttore di tendostrutture per coperture maneggi Manufacturer of tents for horse-riding coverage
ACME S.r.l.	acmemail@tin.it	www.acmedrugs.it	0039 0522 941919	0039 0522 942412	Sede Amm.va e produttiva: Via P. della Ginestra, 942025 CAVRIAGO (RE)Italia	Magazzino: Via della Corte, 4 Integratori vitaminici, specialità medicinali, mangimi complementari sacche perfusionali, presidi medico-chirurgici, cosmetici Medicinal and pharmaceutical preparations - Supplements - Electric medical equipment - Veterinary pharmaceuticals - Feeds - Horse feeders - Supplements - Ointments - Zootechnical products
DOBLE FAZ TEXTIL	info@doblefaztextil.com.ar	www.doblefaztextil.com.ar	0054 2234742282	0054 223 4742282	French 43627600 CAPITAL FEDERAL ( )ARGENTINA	Abbigliamento ed accessori fabbricati a mano, in lana di pecora e di lama.
UISP LEGA NAZIONALE ATTIVITA' EQUESTRI - FONDAZIONE EUROPEA SNA	att.equestri@uisp.it	www.uisp.it/attivitaequestri - www.fondazionesna.eu	0039 340 8061635	0039 055 0125621	Via Bocchi 3250126 FIRENZE (FI)Italia	Valorizzazione dello sport equestre come strumento di promozione del territorio, sani stili di vita e del benessere animale
FRANCESCHINI S.r.l.	info@stivalisumisura.com	www.stivalisumisura.com	0039 075 5272250	0039 075 5272250	Strada delle Fratte, 2/m06132 PERUGIA (PG)Italia	Stivali, stivaletti, gambali, chaps e scarpe
GRANALLA PLATERIA	info@granallaplateria.com.ar	www.granallaplateria.com.ar	0054 1148311835	0054 1148311835	Uriarte 15631414 CAPITAL FEDERAL ( )ARGENTINA	Argenteria Criolla, accessori artigianali con tematiche equestri fabbricati con metalli e pellami argentini. Prodotti tessili con disegno tipico argentino
FITETREC - ANTE (Federazione Italiana Turismo Equestre)	info@fitetrec-ante.it	www.fitetrec-ante.it	0039 06 32650231	0039 06 32650230 - 99332668	Largo Lauro De Bosis 1500135 ROMA (RM)Italia	Federazione Italiana Turismo Equestre e T.R.E.C. Institutions - Information office - Equestrian tourism
RINCO IMPIANTI IPPICI S.n.c.	info@rincocarlo.com	www.rincocarlo.com	0039 045 7300293	0039 045 7302597	Via del Lavoro, 32/3437063 ISOLA DELLA SCALA (VR)Italia	Attrezzature ippiche - Scuderie - Box per cavalli interni ed esterni - Staccionate e accessori per box - Lampade a raggi infrarossi Accessories for horse stables - Boxes - Horse labor equipment - Wood prefabs - Horse riding equipment
SEBASTIAN UCHA	ucha@sebastianucha.com	www.sebastianucha.com	0054 11 68411818	0054 11 68411816	Av. De los Lagos 6595CAPITAL FEDERAL ( )ARGENTINA	Whips - Leather gift - Belts - Saddles
AMERICAN STORE	expoarmy@expoarmy.com	www.expoarmy.com	0039 051 6606390	0039 051 18897408	Via Marzabotto, 540061 MINERBIO (BO)Italia	Abbigliamento militare outdoor e tempo libero
CHIFA S.r.l.	chifasrl@tiscali.it	www.chifa.it	0039 0331 932014	0039 0331 932510	Via Verdi 8421021 MILANO (MI)Italia	Commercio all'ingrosso di prodotti per la salute, igiene e bellezza del cavallo
LA BOTTEGA DEL TORRONE	torronesardo@tiscali.it	www.torronesardo.it	0039 079 755966	0039 079 755966	Via Roma, 3707016 PATTADA (SS)Italia	Torrone prodotto con metodi di lavorazione artigianali, con l'utilizzo di miele sardo, con accurata selezione della frutta secca, attenzione continua in tutte le fasi della lavorazione. La nostra filosofia è produrre un torrone di qualità extra  Nougat product with handicraftprocessing methods, with the use of Sardinian honey, with a careful selection of dried fruit, continuous attention all stages of processing.
COMUNE DI TUSCANIA	info@comune.tuscania.vt.it	www.comune.tuscania.vt.it	0039 0761 4454217	0039 0761 4454247	Piazza Franco Basile 301017 TUSCANIA (VT)Italia	È uno dei più bei paesaggi della Tuscia (l’antica Etruria meridionale) quello che si gode dalle mura medievali di Tuscania, città d’arte della provincia di Viterbo, circondata da una dolce e intatta campagna, per gran parte tutelata come riserva naturale. Per partire dalla conoscenza del suo passato, si deve visitare il Museo nazionale tuscanese che raccoglie sarcofagi in nenfro e fittili (in terracotta caratteristici di Tuscania) e corredi funerari ritrovati nelle tombe delle più importanti famiglie di Tuscania, tra il IV e il II secolo a.C. Alla fine dell’Ottocento era abitudine usare i sarcofagi ritrovati nei sepolcri come arredi urbani, per questo non c’è da stupirsi di trovarli anche nella centralissima piazza Basile, sede del Palazzo comunale, ma anche in chiese ed edifici storici. Un altro piacevole luogo di Tuscania è piazza Bastianini, dominata dalla seicentesca fontana Grande e dal Duomo. Da non perdere le due splendide Basiliche di S. Maria Maggiore e S. Pietro, appena fuori dalla cerchia delle mura.
NORD PIAVE AGRO IPPICA S.r.l. U.P.	info@npagroippica.it	www.nordpiave.it	0039 0438 794691	0039 0438 794837	Via Cadore Mare 1331013 CODOGNE' (TV)Italia	Settore ippica: Box e scuderie - Maneggi coperti e tondini - Giostre per sgambatura cavalli - Capannine, portarotoballe - Recinzioni fisse e mobili - Vans e trailers per trasporto cavalli - Ostacoli - Noleggio box Settore agricoltura/zootecnia: Attrezzature e macchine nuove e usate - Stalle, fienili e ricovero attrezzi, box svezzamento e allevamento.
ASSOCIAZIONE MOSTRA NAZIONALE DEL CAVALLO CITTA' DI CASTELLO	info@mostradelcavallo.com	www.mostradelcavallo.com	0039 075 8559660	0039 075 8522251	Via Vittorini, 2306012 CITTA' DI CASTELLO (PG)Italia	L’Associazione ha per scopo l’organizzazione e la promozione della manifestazione denominata “Mostra Nazionale del Cavallo – Città di Castello”, l'incentivazione dell'allevamento delle razze equine, la promozione dell'uso del cavallo e delle attività equestri in genere e la promozione delle attività artigianali e produttive connesse all'allevamento equino, agli sport ippici ed alla pratica del cavallo.
EL GAUCHO S.n.c.	gaucho100@libero.it	www.elgauchostore.it	0039 06 5346831	0039 06 5346831	Via di Monteverde, 38/a00152 ROMA (RM)Italia	Accessori e abbigliamento - Selleria
HORSE&GREEN; S.n.c.	info@horse-green.com	www.horse-green.com	0039 030 9912720		Viale Motta 14925015 VILLA ADRIANA - TIVOLI (RM)Italia	Abbigliamento
COVER TECHNOLOGY S.r.l.	info@covertechnology.com	www.covertechnology.com	0039 030 6908111	0039 030 6910390	Via Capla' 325080 SERLE (BS)Italia	Costruzioni coperture per maneggi
MERCADO DEL CUERO	jole_mercado@hotmail.com	www.mercadoartecuero.com.ar	0054 03564 15418171		Libertad 10CAPITAL FEDERAL ( )ARGENTINA	Finimenti - Cinture - Articoli in pelle e cuoio - Selleria - Arte equestre/Oggettistica Harness - Belts - Leather articles - Saddlery - Equestrian Art / Decorative articles
ANITA S.r.l.	info@anitasrl.com		0039 340 5221958	0039 0574 1824871	Via Danubio, 5859100 PRATO (PO)Italia	Abbigliamento e accessori in pelle, pellicce ecologiche
HORSE &amp; COUNTRY	guerrachiara@libero.it		0039 340 2551698		Via Siboni 2947100 FORLI' (FC)Italia	Vendita e abbigliamento e accessori western e country
EQUIGOMMA	info@poligomma.it	www.poligomma.it	0039 030 2004920	0039 030 2092213	Via Conicchio 4225136 BRESCIA (BS)Italia	Pavimentazioni tecniche in gomma per scuderie
ITALIAN HORSE PROTECTION ONLUS	ihp@horseprotection.it	www.horseprotection.it	0039 0571 69075	0039 0571 69518	Via Casastrada 950050 MONTAIONE (FI)Italia	Associazione
CNA PRATO	cnaprato@po.cna.it	www.po.cna.it	0039 0574 5784	0039 0574 581211	Via Zarini, 35059100 PRATO (PO)Italia	La CNA Artigianato Pratese, Confederazione Nazionale dell'Artigianato e della piccola e media impresa, è uno dei principali enti di rappresentanza delle pmi e fa parte di un sistema nazionale che oltre a tutelare e difendere gli interessi delle piccole e medie imprese, opera per l'affermazione nella società, nelle istituzioni, nella politica e nello stesso universo delle aziende, dei valori che attengono all'impresa, al lavoro, all’economia di mercato.
EQUITEX S.r.l.	info@equitex.it	www.equitex.it	0039 0471 674323	0039 0471 674322	Via Pigenò Strasse, 339057 APPIANO (BZ)Italia	Sottosella Equitex - Abbigliamento equitazione - Waldhausen - Selle Sommer e Kieffer - Tutto per il cavallo - Sicurezza e protezione cavallo e cavalliere
OMBRELLIFICIO ALFA	fabriziobagnoli@libero.it	www.alfaombrelli.it	0039 0571 82384	0039 0571 82384	Via Piero Della Francesca 5850053 PRATO (PO)Italia	Ombrelli
FIXDESIGN S.r.l.	info@fixdesignhorses.it	www.fixdesignhorses.it	0039 0362 1792203	0039 0362 1792268	Via della Valle, 6720841 CARATE BRIANZA (MB)Italia	Abbigliamento
ATELIER DELLA LANA	annatravaglini@yahoo.it	www.atelierdellalana.com	0039 0574 464889		Via Ser Jacopo Di Pandolfino, 259100 PRATO (PO)Italia	Azienda artigiana che produce accessori e capi di abbigliamento con la tecnica del nunofeltro
PELLICCERIA ANTONUCCI	n.antonucci1960@gmail.com		0039 0571 500987	0039 0571 922496	Via Manin, 70 - Spicchio50059 PRATO (PO)Italia	Articoli in pelliccia, sciarpe, portaocchiali, borse etc..
MARTHA ELDA RIOS	ana@estudioparretta.com.ar		0054 011 47060628	0054 011 47060628	Av. Olleros 2854CAPITAL FEDERAL ( )ARGENTINA	Cinture - Accessori per l'equitazione - Abbigliamento - Articoli in pelle e cuoio - Selleria Belts - Horse-riding accessories - Clothing - Leather articles - Saddlery
INSOLITI BIJOUX	leatherstudio1981@virgilio.it		0039 337 682518		Via Dante Alighieri, 13150054 PRATO (PO)Italia	Artigianato contemporaneo
PIAZZA IN ARTE	nadiamoriconi@gmail	www.creazioniartemia.com	0039 348 5743950		Loc. Rio Secco, 8 - Ghivizzano55025 PRATO (PO)Italia	Azienda artigiana che produce oggettistica in vetro con la tecnica della vetro fusione
WWW.HAPPYHORSE.IT	info@happyhorse.it	www.happyhorse.it	0039 335 430745	0039 02 36522021	Via Albertinelli, 520148 MILANO (MI)Italia	Prodotti naturali per cavalli, stop agli insetti, integratori, mangimi e prodotti fitoterapici, prodotti per la cosmesi e la cura del cavallo, elettroliti
DANA MILLE	danamille@alice.it		0039 335 7562825		Via A. Diaz, 2050055 PRATO (PO)Italia	Oggettistica
INDIAN E COWBOY di TASSONI WAINER	indiancowboy@tiscali.it	www.indiancowboy.it	0039 338 5243119	0039 059 820281	Via San Faustino, 128/a41100 MODENA (MO)Italia	Stivali, cappelli, camicie, fibbie, cinture ed accessori per abbigliamento country, bikers, rockabilly
CAVALLI &amp; CO.	info@gruppocavalli.it		0039 349 6306741		Via G. Rossini, 1852100 PRATO (PO)Italia	Bed and Breakfast
SELLERIA DE ROSA S.r.l.	nicolinoderosa@yahoo.it		0039 347 7780622	0039 0874 830628	Via S. Maria, 3686049 URURI (CB)Italia	Selleria inglese e americana - Prodotti per l'equitazione - Finimenti per attacchi Clothing - Saddlery - Bridles - Horse-riding accessories - Harness
EQUINE AND COUNTRY	jude@equineandcountry.co.uk		0044 01434606409		Dene ParkNE46 1HN HEXHAM ( )GRAN BRETAGNA	Divise per equitazione - Cinture - Caps - Borse - Abbigliamento - Pantaloni da equitazione - Morsi - Guanti - Giacche - Frustini Horse-riding wear - Belts - Caps - Bags - Clothing - Jodhpurs - Bits - Gloves - Jackets - Riding whips
BUSATO ADRIANO	adrianobusato52@gmail.com	www.adrianobusato.com	0039 045 4540331	0039 045 4540331	Via Abruzzi, 337019 PESCHIERA DEL GARDA (VR)Italia	Abbigliamento e accessori in pelle per l'equitazione Clothing - Horse-riding accessories - Hats - Caps - Belts - Harness - Jackets - Jodhpurs - Raincoats - Leather shoes
C &amp; C S.a.s.	waltercuratolo@gmail.com		0039 320 5732410		Via XX Settembre, 1/516100 GENOVA (GE)Italia	Vendita di maglieria e accessori in cashmere e seta
SELLERIA ROVO S.n.c. di ROVO GIANNETTORE &amp; F.LLI	info@selleriarovo.it	www.selleriarovo.it	0039 0862 752372	0039 0862 752372	Nucleo Industriale - Loc. S.Lorenzo67020 FOSSA (AQ)Italia	Articoli di selleria - Selle - Finimenti - Accessori Horse-riding accessories - Horse riding products - Farriers equipment - Saddle bags - Bridles - Suction brushes and curry-combs - Horse-riding hats - Halters - Blankets - Harness - Gaiters
XTECH SPORT	info@xtechsport.it	www.xtechsport.it	0039 030 6897553	0039 030 6897553	Via Italia, 125080 PAITONE (BS)Italia	Calze tecniche e intimo tecnico
PEGASO - LAIATICI LUCIA di CATASTINI LUCIA	info@laiticilucia.it	www.pegaso-it.com	0039 0571 586940	0039 0571 586940	Via Francesca 17550050 CERRETO GUIDI (FI)Italia	Trucioli per lettiere
SicurSell S.r.l.	info@sicursell.com	www.sicursell.com	0039 075 5730168 - 366 7055257	0039 075 5730168	Via Cacciatori Delle Alpi, 1106121 MILANO (MI)Italia	"SicurSell è un efficace sistema antifurto, garantito da copertura assicurativa, basato sull'identificazione e riconducibilità della sella al suo legittimo proprietario. Tale sistema nasce dall'esigenza di contrastare in maniera efficace il dilagante fenomeno dei furti di selle. Con il sistema SicurSell, è finalmente possibile ""targare"" in modo sicuro e visibile le selle, proteggendole così dai furti! Ciò grazie a ben due codici univoci e permanenti (dispositivo esterno visibile, e dispositivo interno NFC rilevabile con smartphone) ed all'evoluto database WWSR (the World Wide Saddle Register), in cui vengono archiviati tutti i dati, di sella e proprietario e i passaggi di proprietà. This new and revolutionary saddle registration system allows the secure and visible identification of any riding saddle, protecting it from theft!"
LA DOLZA - AGRITURISMO, FATTORIA DIDATTICA, AGRIGELATERIA	info@agriturismoladolza.it	www.agriturismoladolza.it	0039 0438 85940	0039 0438 977042	La Dolza 731050 FOLLINA (TV)Italia	Turismo equestre - Maneggi - Alimentatori per cavalli - Agriturismo Equestrian tourism - Riding clubs - Horse feeders - Farm holiday centres
SARTORE S.r.l.	info@sartore.it	www.sartore.it	0039 02 90377631	0039 02 90377632	Via Lombardia, 420010 ARLUNO (MI)Italia	Morsi, staffe, speroni, abbigliamento per equitazione, caps, stivali, guanti, frustini, selle ed accessori, finimenti, ferri da cavallo e articoli per mascalcia - Briglie - Sottosella - Grasso per zoccoli e cuoio - Cavezze - Coperte - Mangiatoie - Portaselle - Articoli per la pulizia del cavallo - Articoli da regalo - Ghette - Tosatrici - Linea accessori in cuoio Winner - Linea accessori in cuoio Henri de Rivel - Abbeveratoi - Cappelli - Caschi - Cinture - Foulard - Occhiali - Paracolpi, paraglomi, recinti - Stinchiere - Vaschette per mangimi Saddle containers - Leg binders - Glasses - Cleaning and beauty products for horses - Fixed fences - Mineral salts - Insect traps - Bits - Stirrups - Spurs - Cannon-guards
AMBRA S.r.l.	info@piadaechampagne.com	www.piadaechampagne.com	0039 0549 901362	0039 0549 901362	Via Marino Moretti, 2347899 SERRAVALLE ( )SAN MARINO	Prodotti Regionali Regional Products
RODEOWEAR	juanito.ur@hotmail.com		0049 1776302827		Montevideo 1703200 CONCORDIA ( )ARGENTINA	Felpe, giacche, cappelli, camicie, borse Jacken, henden, hute..
ASSOCIAZIONE CAVALIERI TERRE DI MAREMMA	terredimaremma@yahoo.it		0039 335 8218461		Via Tripoli 1201014 MONTALTO DI CATSRO (VT)Italia	Associazioni sportive/allevatoriali Sport/breeding associations
VIALI SILVANO S.n.c. di VIALI SERGIO &amp; C.	vialisilvano@katamail.com		0039 0744 812202	0039 0744 812202	Via degli Artigiani, 1305100 TERNI (TR)Italia	Ferri da cavallo e mulo - Attrezzatura per mascalcia Horseshoes - Farriery equipment
TRANSUMANZE - ASSOCIAZIONE SPORTIVA DILETTANTISTICA	transumanze.fcv@gmail.com		0039 0587 57261		Via San Faustino 5356025 PONTEDERA (PI)Italia	Organizzazione transumanze con mandria brada
SELLERIA TUTTO EQUITAZIONE S.n.c.	tuttoequitazionegmg@tiscali.it	www.selleriatuttoequitazione.it	0039 0573 986047	0039 0573 986047	Via Fiorentina 15251100 PISTOIA (PT)Italia	Ferri per cavalli e briglieria, accessori per l'equitazione Horseshoes - Bridles - Horse-riding accessories
LA PIADINA DI QUALITA' DI CELLI FABRIZIO &amp; C. S.n.c.	fabrizio.celli@alice.it		0039 0543 781042	0039 0543 781042	Via Francesco Baracca 5147121 FAVARO VENETO (VE)Italia	Prodotti Regionali Regional Products
ONDULINE ITALIA S.p.A.	mail@onduline.it	www.onduline.it	0039 0583 25611	0039 348 2285389	Via Sibolla 52/5355011 ALTOPASCIO (LU)Italia	Il Gruppo Onduline è leader mondiale nella produzione e commercializzazione di lastre bituminose da copertura e da sottocopertura. I suoi prodotti sono la soluzione ideale, fra le altre applicazioni, per la copertura di stalle, maneggi, box e annessi agricoli. Onduline is a worldwide leading group in the production of bituminous sheets for roofing systems: coverings ans under roofing solutions. Onduline's products are the ideal solution for covering stables, boxes, garden annexes.
GREEN MOUNTAIN - ASS. SPORTIVA DILETTANTISTICA	cristianspera@yahoo.com		0039 339 6299904	0039 0861 57296	Via Nazionale 29964020 CELLINO ATTANASIO (TE)Italia	Promozione territorio, attività equestri e prodotti tipici
BLACKSNAKES S.r.l.	info@blacksnakes.net	www.blacksnakes.net	0039 349 5923521		Via Einaudi, 24862012 CIVITANOVA  MARCHE (MC)Italia	Produzione stivali Texani
TERRE DI MAREMMA di DOMENICO ELEUTERI	terredimaremma@yahoo.it	www.maremmamare.com	0039 335 8218461 - 0766 879003		Via Harmine 4401014 MONTALTO DI CASTRO (VT)Italia	Produzione e vendita di prodotti tipici della Maremma
MAREMMA di ELEUTERI MARIA	info@maremmamare.com		0039 0766 802844	0039 0766 801247	Viale Harmine 4201014 MONTALTO DI CASTRO MARINA (VT)Italia	Ristorazione
THE COUNTRY CLOTHING STORE LTD.	mark.beaman1@btinternet.com		0044 7970 891344	0044 23 92870127	6 The Gardens, 37A South ParadeP040SH SOTUHSEA ( )GRAN BRETAGNA	Country clothing and accessories
STIVALI SECCHIARI - STIVALERIA MAX WEBER di MOIRA CESCA	info@maxweberitalia.com	www.maxweberitalia.com - www.stivalisecchiari.com	0039 0733 292407	0039 0733 287711	Via Mattei, 10462014 CORRIDONIA (MC)Italia	"Stivali su misura ""Secchiari"" - Calzature - Stivali - Stivaletti - Ghette in pelle su misura - Chap's per equitazione e tempo libero - Cinture Shoes - Boots"
DOMA CLASSICA	commerciale@domaclassica.it	www.domaclassica.it	0039 338 3564293		Via Gera D'Adda 526900 FONTANA LODI (LO)Italia	Rivista on-line
GERMAN HORSE INDUSTRY CONSULTING GmbH	office@germanhorseindustry.com	www.germanhorseindustry.com	0049 4204-914035	0049 4204-914060	Syker Str. 205-21327321 THEDINGHAUSEN ( )GERMANIA	Associations, Organisations
REGIONE DEL VENETO - DIREZIONE PROMOZIONE TURISTICA INTEGRATA	promointegrata@regione.veneto.it	www.regione.veneto.it	0039 041 2795456	0039 041 2765491	Via Torino 11030172 MESTRE (VE)Italia	Enti Agencies
HOPS di BERTINATO VASCO	vascobertinato@gmail.com		0039 339 5709494		Via Volta 436070 ARZIGNANO (VI)Italia	Articoli in pelle per equitazione western - Cappelli - Chaps - Guanti - Stivali western    Hats - Saddle bags - Bags - Belts - Halters - Buckles - Gloves - Boots
ACEDNA SARL	0608773008@orange.fr				Lot 41 - 66 avenue des Champs Elysées75008 PARIS ( )FRANCIA	Abbigliamento per lo sport / Impermeabile e traspirante  Sport clothing / Waterproof, windproof and breatheable ideal for Horse Riding, Skiing, Trekking, Cycling etc...
ANGOLO INDUMENTI STRANI di PERUGINO STEFANO	stefanop@cheapnet.it	www.stefanoperuginopellicceria.it	0039 329 3065061	0039 0585 821532	Via Nerino Garbuio cap. 554038 MONTIGNOSO (MS)Italia	Pellicceria, accessori pellicceria, abbigliamento maglieria
ASSOCIAZIONE ITALIANA QUARTER HORSE	info@aiqh.it	www.aiqh.it	0039 0577 931805	0039 0577 094615	Loc. Belvedere Ing. 5, 2853034 COLLE VAL D'ELSA (SI)Italia	"Referente italiano per la ""American Quarter Association"" - Referente per la razza Quarter Horse in Italia"
TAILORSANLUXE S.r.l.	info@classtoilet.it	www.tailorsanluxe.it	0039 06 9770292	0039 06 97089297	Loc. Piombinara00034 COLLFERRO (RM)Italia	Noleggio bagni di lusso
VILBI di BERTINATO DANIELE	vilbi@libero.it		0039 338 4448083		Via A.Volta 436071 TEZZE DI ARZIGNANO (VI)Italia	Articoli in pelle
PAINT HORSE CLUB ITALIA	phcitalia@gmail.com	www.phci.net	0039 342 3395236		Via Piave, 4231030 SAN MARTINO DI LUPARI (PD)Italia	Unico referente in Italia per la razza American Paint Horse Association
CAVALLI CAMPIONI	info@cavallicampioni.it	www.cavallicampioni.it	0039 035 0149439	0039 035 0346843	Via S. Bernardino 824122 BERGAMO (BG)Italia	Rivista di settore
U.A.I.P.R.E. - UNIFICAZIONE ASSOCIAZIONI ITALIANE P.R.E.	info@aipre.com	www.aipre.com	0039 0532 762005	0039 0532 762005	Via Ippodromo, 3144100 FERRARA (FE)Italia	Associazione di razza - Libro genalogico - Cavalli di pura razza spagnola P.R.E. Thoroughbred Associations
CARMINATI ALESSANDRO SELLERIA &amp; C. S.n.c.	info@selleriacarminati.it	www.selleriacarminati.it	0039 030 961574	0039 030 9651128	Via Giovanni Pascoli, 825018 MONTICHIARI (BS)Italia	Vendita articoli per equitazione
ASSOCIAZIONE AICL - ASSOCIAZIONE NON A FINE DI LUCRO	marzia_maestri@yahoo.it		0039 335 8230343		Via Santa Sofia 2720100 MILANO (MI)Italia	Associazione Italiana del Cavallo Puro Sangue Lusitano - Associazione di razza e cultura equestre
